Parcela	Tratamento	Planta	Bloco	avaliador	Angulodafolha	Formatodolimbofoliar	Divisaofoliar	Divisaofoliarincisao	Formatodoapice
59	F12B2P2	1	2	1	4	1	2	2	4
59	F12B2P2	2	2	1	2	1	2	2	6
59	F12B2P2	3	2	1	3	1	2	2	4
59	F12B2P2	4	2	1	2	2	2	2	4
59	F12B2P2	5	2	1	2	5	2	2	4
59	F12B2P2	6	2	1	3	1	2	2	6
59	F12B2P2	1	2	2	2	2	3	2	6
59	F12B2P2	2	2	2	2	1	3	2	6
59	F12B2P2	3	2	2	1	2	3	2	NA
59	F12B2P2	4	2	2	2	2	3	2	NA
59	F12B2P2	5	2	2	1	3	3	2	NA
59	F12B2P2	6	2	2	1	3	3	2	6
59	F12B2P2	1	2	3	2	NA	NA	NA	NA
59	F12B2P2	2	2	3	2	NA	NA	NA	NA
59	F12B2P2	3	2	3	2	NA	NA	NA	NA
59	F12B2P2	4	2	3	2	NA	NA	NA	NA
59	F12B2P2	5	2	3	2	NA	NA	NA	NA
59	F12B2P2	6	2	3	2	NA	NA	NA	NA
85	F12B2P2	1	3	1	NA	NA	NA	NA	NA
85	F12B2P2	2	3	1	3	5	4	1	4
85	F12B2P2	3	3	1	2	2	2	2	6
85	F12B2P2	4	3	1	3	1	2	1	6
85	F12B2P2	5	3	1	2	1	2	2	6
85	F12B2P2	6	3	1	1	2	2	2	6
85	F12B2P2	1	3	2	1	3	3	2	NA
85	F12B2P2	2	3	2	2	5	4	4	4
85	F12B2P2	3	3	2	2	5	3	2	6
85	F12B2P2	4	3	2	1	5	3	2	6
85	F12B2P2	5	3	2	1	3	2	2	6
85	F12B2P2	6	3	2	1	3	3	2	6
85	F12B2P2	1	3	3	NA	NA	NA	NA	NA
85	F12B2P2	2	3	3	NA	2	3	4	1
85	F12B2P2	3	3	3	NA	1	3	2	2
85	F12B2P2	4	3	3	NA	2	3	2	2
85	F12B2P2	5	3	3	NA	2	3	2	2
85	F12B2P2	6	3	3	NA	2	3	2	2
116	F12B2P2	1	4	1	NA	NA	NA	NA	NA
116	F12B2P2	2	4	1	NA	NA	NA	NA	NA
116	F12B2P2	3	4	1	2	2	2	1	4
116	F12B2P2	4	4	1	NA	NA	NA	NA	NA
116	F12B2P2	5	4	1	3	2	2	1	4
116	F12B2P2	6	4	1	2	4	2	1	4
116	F12B2P2	1	4	2	NA	NA	NA	NA	NA
116	F12B2P2	2	4	2	NA	NA	NA	NA	NA
116	F12B2P2	3	4	2	2	2	2	2	6
116	F12B2P2	4	4	2	NA	NA	NA	NA	6
116	F12B2P2	5	4	2	2	4	3	2	6
116	F12B2P2	6	4	2	2	2	2	2	NA
116	F12B2P2	1	4	3	NA	NA	NA	NA	NA
116	F12B2P2	2	4	3	NA	NA	NA	NA	NA
116	F12B2P2	3	4	3	NA	2	3	2	2
116	F12B2P2	4	4	3	NA	NA	3	2	2
116	F12B2P2	5	4	3	NA	2	3	2	2
116	F12B2P2	6	4	3	NA	2	NA	NA	NA
10	F12B2P3	1	1	1	1	1	1	2	4
10	F12B2P3	2	1	1	1	2	1	2	4
10	F12B2P3	3	1	1	1	1	2	2	6
10	F12B2P3	4	1	1	4	1	2	2	6
10	F12B2P3	5	1	1	2	1	1	2	6
10	F12B2P3	6	1	1	3	1	1	2	6
10	F12B2P3	1	1	2	NA	2	5	3	2
10	F12B2P3	2	1	2	NA	2	1	2	2
10	F12B2P3	3	1	2	NA	2	5	3	2
10	F12B2P3	4	1	2	NA	2	1	2	2
10	F12B2P3	5	1	2	NA	1	1	3	2
10	F12B2P3	6	1	2	NA	3	1	3	2
10	F12B2P3	1	1	3	1	2	3	2	NA
10	F12B2P3	2	1	3	2	3	2	2	NA
10	F12B2P3	3	1	3	3	3	3	2	6
10	F12B2P3	4	1	3	2	3	2	2	6
10	F12B2P3	5	1	3	2	1	2	2	6
10	F12B2P3	6	1	3	3	1	2	2	6
42	F12B2P3	1	2	1	1	1	2	1	6
42	F12B2P3	2	2	1	2	2	2	2	6
42	F12B2P3	3	2	1	2	2	2	2	6
42	F12B2P3	4	2	1	3	3	2	1	8
42	F12B2P3	5	2	1	NA	NA	NA	NA	NA
42	F12B2P3	6	2	1	NA	NA	NA	NA	NA
42	F12B2P3	1	2	2	1	1	3	2	6
42	F12B2P3	2	2	2	2	3	2	2	6
42	F12B2P3	3	2	2	1	3	2	2	6
42	F12B2P3	4	2	2	2	3	2	2	NA
42	F12B2P3	5	2	2	NA	NA	NA	NA	NA
42	F12B2P3	6	2	2	NA	NA	NA	NA	NA
42	F12B2P3	1	2	3	3	3	2	2	6
42	F12B2P3	2	2	3	3	3	2	2	6
42	F12B2P3	3	2	3	3	3	3	2	6
42	F12B2P3	4	2	3	3	NA	NA	NA	NA
42	F12B2P3	5	2	3	NA	NA	NA	NA	NA
42	F12B2P3	6	2	3	NA	NA	NA	NA	NA
101	F12B2P3	1	3	1	3	1	2	1	6
101	F12B2P3	2	3	1	3	5	2	1	6
101	F12B2P3	3	3	1	3	3	2	1	6
101	F12B2P3	4	3	1	3	5	2	1	8
101	F12B2P3	5	3	1	3	2	2	1	8
101	F12B2P3	6	3	1	3	2	2	1	6
101	F12B2P3	1	3	2	1	2	3	2	6
101	F12B2P3	2	3	2	2	2	3	2	6
101	F12B2P3	3	3	2	1	2	3	2	NA
101	F12B2P3	4	3	2	1	2	3	2	8
101	F12B2P3	5	3	2	2	5	3	2	8
101	F12B2P3	6	3	2	1	2	3	2	6
101	F12B2P3	1	3	3	NA	2	3	2	2
101	F12B2P3	2	3	3	NA	2	3	2	2
101	F12B2P3	3	3	3	NA	3	NA	NA	NA
101	F12B2P3	4	3	3	NA	3	3	2	2
101	F12B2P3	5	3	3	NA	3	3	2	2
101	F12B2P3	6	3	3	NA	3	3	2	2
117	F12B2P3	1	4	1	4	4	2	1	6
117	F12B2P3	2	4	1	4	5	2	2	6
117	F12B2P3	3	4	1	4	5	2	2	6
117	F12B2P3	4	4	1	3	3	2	2	6
117	F12B2P3	5	4	1	3	3	2	2	6
117	F12B2P3	6	4	1	4	3	2	2	6
117	F12B2P3	1	4	2	2	3	2	2	6
117	F12B2P3	2	4	2	1	3	2	2	6
117	F12B2P3	3	4	2	1	2	3	2	6
117	F12B2P3	4	4	2	1	2	2	2	6
117	F12B2P3	5	4	2	2	2	2	2	6
117	F12B2P3	6	4	2	2	3	2	2	6
117	F12B2P3	1	4	3	NA	2	3	NA	NA
117	F12B2P3	2	4	3	NA	2	3	2	2
117	F12B2P3	3	4	3	NA	2	3	2	2
117	F12B2P3	4	4	3	NA	2	3	2	2
117	F12B2P3	5	4	3	NA	2	3	2	2
117	F12B2P3	6	4	3	NA	2	3	2	2
28	F12B2P4	1	1	1	3	2	2	3	6
28	F12B2P4	2	1	1	2	2	2	3	6
28	F12B2P4	3	1	1	3	2	2	3	6
28	F12B2P4	4	1	1	2	2	2	3	6
28	F12B2P4	5	1	1	2	6	2	2	6
28	F12B2P4	6	1	1	NA	NA	NA	NA	NA
28	F12B2P4	1	1	2	3	3	2	2	6
28	F12B2P4	2	1	2	2	1	2	2	6
28	F12B2P4	3	1	2	2	1	2	2	6
28	F12B2P4	4	1	2	2	3	3	2	NA
28	F12B2P4	5	1	2	2	2	3	2	6
28	F12B2P4	6	1	2	NA	NA	NA	2	NA
28	F12B2P4	1	1	3	3	3	3	2	6
28	F12B2P4	2	1	3	2	3	2	2	6
28	F12B2P4	3	1	3	3	3	2	2	6
28	F12B2P4	4	1	3	2	1	3	2	NA
28	F12B2P4	5	1	3	2	1	2	2	6
28	F12B2P4	6	1	3	NA	3	2	2	NA
54	F12B2P4	1	2	1	2	3	2	2	8
54	F12B2P4	2	2	1	3	3	2	2	6
54	F12B2P4	3	2	1	2	3	2	2	6
